"customer","acr","ai_spending"
"AON CORPORATION",4347439.0,27492.0
"Bertelsmann SE & Co. KGaA",3997878.0,26803.0
"ABU DHABI DIGITAL AUTHORITY - ADDA -",6349968.0,26493.0
"SCOR GIE",1829048.0,26466.0
"BHP",3275819.0,26446.0
"BENTLEY SYSTEMS",4969866.0,25952.0
"New Relic",2103770.0,25796.0
"GENERAL MOTORS CORPORATION",11787594.0,25709.0
"Symphony EYC",2489634.0,24861.0
"Cohesity",3881081.0,24625.0
"Illumio",2333117.0,24341.0
"ENGIE",3395534.0,24211.0
"Constellation Software",7302118.0,23481.0
"LUXOTTICA GROUP SPA",5899868.0,22989.0
"Uniper IT GmbH",2131040.0,22862.0
"TPG Capital",2324633.0,22759.0
"PTC",2580921.0,22527.0
"Prudential Assurance Company Singapore Pte Ltd",5273790.0,22451.0
"MILLIMAN USA",4172282.0,22197.0
"AGL CORPORATE SERVICES PTY LTD",1694006.0,22024.0
"MULLIEZ GROUP",2387650.0,21780.0
"NATIONAL BASKETBALL ASSOCIATION",1778611.0,21665.0
"US DEPARTMENT OF THE AIR FORCE",12242967.0,21163.0
"TRIMBLE INC",8794123.0,20809.0
"Woolworths Group Limited",5063878.0,20570.0
"EMERSON",2461766.0,20548.0
"Capita Group",3114998.0,20326.0
"三井住友信託銀行株式会社",1618184.0,20045.0
"Repsol, S.A.",2703332.0,19874.0
"Adecco Group AG",2628617.0,19807.0
"Volvo Car Corporation",4920803.0,19807.0
"LOREAL",4991249.0,19616.0
"Carvana",1744100.0,19606.0
"Power Corporation of Canada",1643557.0,19605.0
"TotalEnergies",2407337.0,19430.0
"CEGID SA",2348281.0,19376.0
"US DEPARTMENT OF NAVY",3716330.0,19279.0
"AMADEUS SAS",23241931.0,19250.0
"MongoDB Inc",6606893.0,18877.0
"TEAMSYSTEM SPA",1798051.0,18722.0
"QATAR AIRWAYS",2844260.0,18706.0
"THALES",2219121.0,18680.0
"Quest Software",1986343.0,17807.0
"EXXON MOBIL",5053292.0,17405.0
"AKAMAI TECHNOLOGIES",3472492.0,17383.0
"CHANEL",2135280.0,16813.0
"AB SKF",2017546.0,16738.0
"AG Insurance",1958977.0,16585.0
"AGORIA NV",1605918.0,16499.0
"LEXMARK INTERNATIONAL INC",3173264.0,16360.0
"Ministry of Education",2363185.0,16059.0
"MINISTRY OF DIGITAL POLICY",3749155.0,15894.0
"Communications Security Establishment",2950406.0,15820.0
"APOLLO MANAGEMENT",1624690.0,15597.0
"Cencora (AmerisourceBergen)",3368934.0,15567.0
"FORTIVE",1733694.0,15444.0
"ROCKWELL AUTOMATION",4313228.0,15394.0
"ARCH CAPITAL GROUP LTD",2634451.0,15304.0
"Kyndryl",5224071.0,15300.0
"eToro Ltd.",2152877.0,15272.0
"COMMVAULT SYSTEMS INC",9584131.0,15198.0
"TomTom Group",3878751.0,15139.0
"NIKE",3961677.0,14906.0
"EDWARD D JONES AND COMPANY",2687899.0,14832.0
"APPLIED MATERIALS",2289778.0,14417.0
"WEX, Inc.",1996255.0,14315.0
"US BANK",3856446.0,14061.0
"O9 SOLUTIONS",2550409.0,14050.0
"株式会社セブン‐イレブン・ジャパン",1966617.0,13968.0
"DOW",1967490.0,13933.0
"Koninklijke Ahold Delhaize N.V.",5129605.0,13771.0
"Heineken",2786416.0,13325.0
"Atlas Copco",2227327.0,12996.0
"CA-COUNTY OF LOS ANGELES",1682326.0,12993.0
"Stryker Corporation",4509063.0,12825.0
"MICHELIN",2981268.0,12612.0
"AMDOCS MANAGEMENT LTD",2467195.0,12480.0
"CARMAX INC",1818516.0,12362.0
"Aptean",2525383.0,12335.0
"MOTOROLA INC",5194469.0,12303.0
"U S DEPT OF HEALTH AND HUMAN SERVICES",2846504.0,12166.0
"INTAPP INC",1903610.0,12132.0
"ELASTICSEARCH",5050546.0,12060.0
"LVMH",4062497.0,12000.0
"CNH INDUSTRIAL N.V.",3221744.0,11801.0
"OMNICOM GROUP INC",2713762.0,11761.0
"MICRON TECHNOLOGY INFO SYSTEMS",2099545.0,11757.0
"KROGER CO",8102020.0,11590.0
"Siam Commercial Bank Public Co Ltd",2268543.0,11467.0
"ONETRUST",3381332.0,11403.0
"AZ-STATE GOVERNMENT",2596977.0,11381.0
"株式会社クボタ",2382329.0,11219.0
"Anthology Inc.",1753738.0,11144.0
"ArcelorMittal",2528534.0,11105.0
"TietoEVRY Oyj",1614085.0,11006.0
"ALBERTSONS COMPANIES",6120994.0,10952.0
"MEDITERRANEAN SHIPPING",13944446.0,10594.0
"KION GROUP AG",1676102.0,10271.0
"Reckitt Benckiser Corporate Service",2242130.0,10189.0
"STARBUCKS CORPORATION",4158922.0,10179.0
"SITECORE",4518586.0,10103.0
"ThyssenKrupp AG",1652051.0,10092.0
"BERKSHIRE HATHAWAY INC",4049282.0,10091.0
"Asml Netherlands B.V.",8259838.0,10007.0
